#;;;;;;;;;;;;;x;;;
demand_concession_casus_belli_jap;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_setup;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_short;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_desc;Take a state from China.;;;;;;;;;;;;;x
free_allied_cores;Free Allied Cores;Peuple libre;Freies Volk;;;;;;;;;;;
free_allied_cores_desc;Liberate cores belonging to an ÅòYallied countryÅòW in your sphere;Liberer un ÅòYpaysÅòW de ses oppresseurs;Befreien Sie ein ÅòYLandÅòW von seinen Unterdruckern.;;;;;;;;;;;
free_allied_cores_short;$THIRD$ acquires $STATE$;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;
free_allied_cores_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$;Prendre $STATE$ ?$RECIPIENT$ pour le rendre ?$THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zuruc
NORMAL_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;
AGRESSION_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;
demand_reparations;Demand Reparations;;;;;;;;;;;;;x
demand_reparations;Demand Reparations;;;;;;;;;;;;;x
demand_reparations_setup;Make your enemy pay reparations;;;;;;;;;;;;;x
demand_reparations_short;Make your enemy pay reparations;;;;;;;;;;;;;x
demand_reparations_desc;Force another country to pay reparations to us;;;;;;;;;;;;;x
conquest_tiny;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_setup;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_short;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_desc;Can use on nations with <200K population before 1860, <300k between 1860-1885, <400k between 1885-1910, <500k after 1910.;;;;;;;;;;;;;x
conquest_small;Minor Conquest;;;;;;;;;;;;;x
conquest_small_setup;Minor Conquest;;;;;;;;;;;;;x
conquest_small_short;Minor Conquest;;;;;;;;;;;;;x
conquest_small_desc;Can use on nations with <500K population before 1860, <600k between 1860-1885, <800k between 1885-1910, <1.2M after 1910. ;;;;;;;;;;;;;x
acquire_small_state;Acquire small state;;;;;;;;;;;;;x
acquire_small_state_setup;Acquire $STATE$;;;;;;;;;;;;;x
acquire_small_state_short;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_small_state_desc;Can use on states <200K population before 1860, <300k between 1860-1885, <400k between 1885-1910, <500k after 1910.;;;;;;;;;;;;;x
negotiated_transfer;Negotiated Transfer;;;;;;;;;;;;x
negotiated_transfer_desc;Transfer a state or colonial region to another country with no effect on infamy, prestige, or jingoism;;;;;;;;;;;;x
negotiated_transfer_short;$RECIPIENT$ receives $STATE$ from us;;;;;;;;;;;;;x
negotiated_transfer_setup;Transfer $STATE$ from our country to $RECIPIENT$;;;;;;;;;;;;x
NORMAL_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;x
AGRESSION_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;x
demand_for_ally;Demand for ally;;;;;;;;;;;;;x
demand_for_ally_setup;Transfer $STATE$;;;;;;;;;;;;;x
demand_for_ally_short;Transfer $STATE$;;;;;;;;;;;;;x
demand_for_ally_desc;Demand a state for another nation.;;;;;;;;;;;;;x
mexican_american_war;Liberate all cores;;;;;;;;;;;;;;;;x
mexican_american_war_desc;Liberate your country from its oppressors;;;;;;;;;;;;;x
mexican_american_war_setup;Acquires all core territory;;;;;;;;;;;;;x
mexican_american_war_short;Acquires all core territory;;;;;;;;;;;;;x
acquire_all_cores;Liberate all cores;;;;;;;;;;;;;x
acquire_all_cores_desc;Liberate your country from its oppressors;;;;;;;;;;;;;x
acquire_all_cores_setup;Acquires all core territory;;;;;;;;;;;;;x
acquire_all_cores_short;Acquires all core territory;;;;;;;;;;;;;x
take_capital;Take Capital;;;;;;;;;;;;;x
take_capital_setup;Take capital;;;;;;;;;;;;;x
take_capital_short;Take capital of $RECIPIENT$;;;;;;;;;;;;;x
take_capital_desc;Take the capital state of a country;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_setup;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_short;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_desc;Annex an uncivilized nation with less than 150k POPs.;;;;;;;;;;;;;;;;;;;;x
lebensraum_cb;Lebensraum;;;;;;x,,,,,,,,
lebensraum_cb_desc;Completely annex a country in order to increase our population's living space;;;;;;x,,,,,,,,
lebensraum_cb_setup;Annex an entire nation. If achieved, our population's living space will vastly increase;;;;;;x,,,,,,,
lebensraum_cb_short;Lebensraum;;;;;;x,,,,,,,,
no_personality;ßW0 Defence ß!;;;;;;;;;;;;;;
attack_2.75;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.76;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.77;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.78;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.79;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.80;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.81;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.82;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.83;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.84;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.85;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.86;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.87;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.88;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.89;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.90;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.91;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.92;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.93;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.94;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.95;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.96;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.97;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.98;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.99;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_2.100;ßB+2 Attack ß!;;;;;;;;;;;;;;
attack_3.1;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.2;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.3;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.4;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.5;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.6;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.7;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.8;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.9;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.10;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.11;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.12;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.13;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.14;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.15;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.16;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.17;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.18;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.19;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_3.20;ßG+3 Attack ß!;;;;;;;;;;;;;;
attack_4.1;ßR+4 Attack ß!;;;;;;;;;;;;;;
attack_4.2;ßR+4 Attack ß!;;;;;;;;;;;;;;
attack_4.3;ßR+4 Attack ß!;;;;;;;;;;;;;;
attack_4.4;ßR+4 Attack ß!;;;;;;;;;;;;;;
attack_5.1;ßW+5 Attack ß!;;;;;;;;;;;;;;
defence_1.1;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.2;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.3;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.4;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.5;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.6;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.7;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.8;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.9;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.10;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.11;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.12;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.13;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.14;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.15;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.16;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.17;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.18;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.19;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.20;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.21;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.22;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.23;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.24;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.25;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.26;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.27;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.28;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.29;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.30;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.31;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.32;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.33;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.34;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.35;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.36;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.37;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.38;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.39;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.40;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.41;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.42;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.43;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.44;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.45;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.46;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.47;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.48;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.49;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.50;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.51;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.52;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.53;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.54;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.55;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.56;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.57;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.58;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.59;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.60;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.61;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.62;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.63;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.64;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.65;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.66;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.67;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.68;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.69;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.70;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.71;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.72;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.73;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.74;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.75;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.76;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.77;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.78;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.79;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.80;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.81;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.82;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.83;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.84;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.85;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.86;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.87;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.88;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.89;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.90;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.91;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.92;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.93;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.94;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.95;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.96;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.97;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.98;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.99;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.100;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.101;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.102;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.103;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.104;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.105;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.106;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.107;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.108;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.109;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.110;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.111;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.112;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.113;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.114;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.115;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.116;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.117;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.118;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.119;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.120;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.121;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.122;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.123;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.124;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.125;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.126;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.127;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.128;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.129;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.130;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.131;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.132;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.133;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.134;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.135;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.136;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.137;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.138;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.139;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.140;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.141;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.142;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.143;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.144;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.145;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.146;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.147;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.148;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.149;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.150;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.151;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.152;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.153;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.154;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.155;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.156;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.157;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.158;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.159;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.160;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.161;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.162;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.163;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.164;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.165;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.166;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.167;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.168;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.169;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.170;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.171;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.172;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.173;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.174;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.175;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.176;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.177;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.178;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.179;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.180;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.181;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.182;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.183;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.184;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.185;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.186;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.187;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.188;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.189;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.190;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.191;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.192;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.193;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.194;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.195;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.196;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.197;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.198;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.199;+1 Defence ß!;;;;;;;;;;;;;;
defence_1.200;+1 Defence ß!;;;;;;;;;;;;;;
defence_2.1;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.2;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.3;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.4;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.5;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.6;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.7;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.8;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.9;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.10;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.11;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.12;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.13;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.14;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.15;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.16;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.17;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.18;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.19;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.20;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.21;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.22;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.23;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.24;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.25;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.26;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.27;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.28;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.29;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.30;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.31;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.32;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.33;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.34;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.35;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.36;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.37;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.38;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.39;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.40;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.41;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.42;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.43;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.44;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.45;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.46;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.47;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.48;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.49;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.50;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.51;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.52;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.53;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.54;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.55;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.56;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.57;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.58;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.59;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.60;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.61;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.62;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.63;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.64;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.65;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.66;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.67;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.68;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.69;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.70;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.71;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.72;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.73;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.74;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.75;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.76;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.77;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.78;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.79;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.80;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.81;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.82;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.83;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.84;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.85;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.86;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.87;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.88;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.89;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.90;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.91;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.92;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.93;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.94;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.95;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.96;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.97;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.98;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.99;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_2.100;ßB+2 Defence ß!;;;;;;;;;;;;;;
defence_3.1;ßG+3 Defence ß!;;;;;;;;;;;;;;
